LCE6A	IPR031716
SPRR2D	IPR029142
SPRR2D	IPR026075
FDXR	IPR023753
FDXR	IPR021163
FGFR3	IPR003599
FGFR3	IPR007110
FGFR3	IPR028176
FGFR3	IPR013098
FGFR3	IPR003598
FGFR3	IPR008266
FGFR3	IPR001245
FGFR3	IPR000719
FGFR3	IPR013783
FGFR3	IPR016248
FGFR3	IPR017441
FGFR3	IPR020635
FGFR3	IPR011009
PRKACG	IPR000961
PRKACG	IPR017441
PRKACG	IPR008271
PRKACG	IPR011009
PRKACG	IPR000719
HNRNPA2	IPR034489
HNRNPA2	IPR000504
HNRNPA2	IPR034486
RFX1	IPR003150
RFX1	IPR011991
RFX1	IPR007668
CCNO	IPR013763
CCNO	IPR004367
CCNO	IPR028864
CCNO	IPR006671
CALB2	IPR002048
CALB2	IPR018247
CALB2	IPR029646
CALB2	IPR011992
CYP7A1	IPR017972
CYP7A1	IPR001128
CYP7A1	IPR024204
CYP7A1	IPR030681
CYP7A1	IPR002403
CBL	IPR009060
CBL	IPR017907
CBL	IPR000980
CBL	IPR015940
CBL	IPR013083
CBL	IPR024159
CBL	IPR011992
CBL	IPR014741
CBL	IPR014742
CBL	IPR003153
CBL	IPR001841
CBL	IPR024162
IGFBP4	IPR022327
IGFBP4	IPR009168
IGFBP4	IPR022321
IGFBP4	IPR009030
IGFBP4	IPR017891
IGFBP4	IPR000716
IGFBP4	IPR000867
PRKACB	IPR000961
PRKACB	IPR017441
PRKACB	IPR008271
PRKACB	IPR011009
PRKACB	IPR000719
UQCRC2	IPR007863
UQCRC2	IPR011249
UQCRC2	IPR011765
UQCRC2	IPR001431
SLC2A5	IPR003663
SLC2A5	IPR002442
SLC2A5	IPR005828
SLC2A5	IPR020846
SLC2A5	IPR005829
TGM1	IPR002931
TGM1	IPR013783
TGM1	IPR001102
TGM1	IPR014756
TGM1	IPR013808
TGM1	IPR008958
TGM1	IPR023608
NR4A1	IPR013088
NR4A1	IPR001723
NR4A1	IPR001628
NR4A1	IPR003070
NR4A1	IPR003071
NR4A1	IPR000536
CA4	IPR018338
CA4	IPR023561
CA4	IPR001148
CA4	IPR018343
GNLY	IPR011001
GNLY	IPR008139
CPN2	IPR003591
CPN2	IPR032675
CPN2	IPR000483
CPN2	IPR000372
CPN2	IPR001611
EVI2A	IPR008608
FECH	IPR019772
FECH	IPR033659
FECH	IPR033644
FECH	IPR001015
LHCGR	IPR034298
LHCGR	IPR026906
LHCGR	IPR000276
LHCGR	IPR032675
LHCGR	IPR017452
LHCGR	IPR002273
LHCGR	IPR002131
MMP8	IPR018487
MMP8	IPR018486
MMP8	IPR000585
MMP8	IPR033739
MMP8	IPR021190
MMP8	IPR001818
MMP8	IPR028709
MMP8	IPR024079
MMP8	IPR002477
MMP8	IPR006026
MMP8	IPR021158
CRYGS	IPR011024
CRYGS	IPR001064
XPA	IPR022656
XPA	IPR009061
XPA	IPR022652
XPA	IPR000465
XPA	IPR022658
IGHV1-2	IPR007110
IGHV1-2	IPR013106
AMPD1	IPR006329
AMPD1	IPR001365
AMPD1	IPR032466
AMPD1	IPR006650
AMPD1	IPR029770
CES1	IPR019826
CES1	IPR019819
CES1	IPR029058
CES1	IPR002018
FBLN1	IPR000152
FBLN1	IPR018097
FBLN1	IPR000020
FBLN1	IPR017048
FBLN1	IPR009030
FBLN1	IPR000742
FBLN1	IPR026823
FBLN1	IPR001881
FBLN1	IPR013032
TCEA1	IPR003618
TCEA1	IPR001222
TCEA1	IPR003617
TCEA1	IPR017923
TCEA1	IPR006289
PTGS1	IPR010255
PTGS1	IPR029580
PTGS1	IPR000742
PTGS1	IPR019791
ITGA6	IPR013519
ITGA6	IPR013517
ITGA6	IPR013649
ITGA6	IPR018184
ITGA6	IPR000413
ITGA6	IPR032695
SFPQ	IPR034526
SFPQ	IPR000504
SFPQ	IPR012975
SFPQ	IPR034525
TUBG1	IPR008280
TUBG1	IPR000217
TUBG1	IPR018316
TUBG1	IPR002454
TUBG1	IPR017975
TUBG1	IPR003008
KEL	IPR024079
KEL	IPR008753
KEL	IPR000718
KEL	IPR029737
KEL	IPR018497
CA6	IPR018338
CA6	IPR023561
CA6	IPR001148
CA6	IPR018428
PPIB	IPR002130
PPIB	IPR024936
PPIB	IPR020892
PPIB	IPR029000
S100A1	IPR018247
S100A1	IPR013787
S100A1	IPR028486
S100A1	IPR011992
S100A1	IPR001751
S100A1	IPR002048
HRC	IPR019552
HRC	IPR015666
ME2	IPR012302
ME2	IPR001891
ME2	IPR015884
ME2	IPR016040
ME2	IPR012301
GLDC	IPR003437
GLDC	IPR015422
GLDC	IPR020581
GLDC	IPR015424
GLDC	IPR001597
GLDC	IPR015421
WARS	IPR014729
WARS	IPR001412
WARS	IPR009068
WARS	IPR000738
WARS	IPR002306
WARS	IPR002305
RPS3	IPR005703
RPS3	IPR015946
RPS3	IPR001351
RPS3	IPR018280
RPS3	IPR004044
RPS3	IPR009019
MYF6	IPR011598
MYF6	IPR002546
GLRA1	IPR006202
GLRA1	IPR008128
GLRA1	IPR006201
GLRA1	IPR008127
GLRA1	IPR006028
GLRA1	IPR006029
GLRA1	IPR018000
GLRA2	IPR006202
GLRA2	IPR006201
GLRA2	IPR008127
GLRA2	IPR006028
GLRA2	IPR006029
GLRA2	IPR008129
GLRA2	IPR018000
GCSH	IPR002930
GCSH	IPR000089
GCSH	IPR017453
GCSH	IPR003016
GCSH	IPR011053
GCSH	IPR033753
CBLN1	IPR008983
CBLN1	IPR001073
RPS6KB1	IPR000961
RPS6KB1	IPR011009
RPS6KB1	IPR000719
RPS6KB1	IPR017892
RPS6KB1	IPR008271
RPS6KB1	IPR017441
RPS6KB1	IPR016238
JAK1	IPR020776
JAK1	IPR000980
JAK1	IPR011009
JAK1	IPR019749
JAK1	IPR019748
JAK1	IPR008266
JAK1	IPR020635
JAK1	IPR001245
JAK1	IPR000719
JAK1	IPR014352
JAK1	IPR017441
JAK1	IPR011993
JAK1	IPR016251
JAK1	IPR000299
PTPRB	IPR016130
PTPRB	IPR013783
PTPRB	IPR029021
PTPRB	IPR003961
PTPRB	IPR003595
PTPRB	IPR000387
PTPRB	IPR000242
PTPRD	IPR003599
PTPRD	IPR003598
PTPRD	IPR013783
PTPRD	IPR013098
PTPRD	IPR007110
PTPRD	IPR029021
PTPRD	IPR003961
PTPRD	IPR003595
PTPRD	IPR016130
PTPRD	IPR000387
PTPRD	IPR000242
PTPRG	IPR016130
PTPRG	IPR013783
PTPRG	IPR029021
PTPRG	IPR003961
PTPRG	IPR003595
PTPRG	IPR001148
PTPRG	IPR000387
PTPRG	IPR000242
PTPRZ1	IPR016130
PTPRZ1	IPR013783
PTPRZ1	IPR029021
PTPRZ1	IPR003961
PTPRZ1	IPR003595
PTPRZ1	IPR001148
PTPRZ1	IPR000387
PTPRZ1	IPR000242
LOR	IPR031700
SP100	IPR000770
SP100	IPR010919
SP100	IPR009071
SP100	IPR004865
MCC	IPR019536
TNFSF4	IPR008983
TNFSF4	IPR021184
TNFSF4	IPR006052
NFYA	IPR001289
NFYA	IPR018362
OMG	IPR003591
OMG	IPR032675
OMG	IPR000372
OMG	IPR001611
HIST1H2	IPR000558
HIST1H2	IPR007125
HIST1H2	IPR009072
CFL1	IPR002108
CFL1	IPR017904
CFL1	IPR027234
CFL1	IPR029006
BDNF	IPR019846
BDNF	IPR020408
BDNF	IPR020430
BDNF	IPR029034
BDNF	IPR002072
NPPC	IPR000663
NPPC	IPR002406
NPPC	IPR030480
EIF4B	IPR000504
EIF4B	IPR033107
F8A2	IPR011990
F8A1	IPR011990
F8A3	IPR011990
ATP2B4	IPR034304
ATP2B4	IPR018303
ATP2B4	IPR023298
ATP2B4	IPR023299
ATP2B4	IPR022141
ATP2B4	IPR004014
ATP2B4	IPR006068
ATP2B4	IPR023214
ATP2B4	IPR008250
ATP2B4	IPR006408
ATP2B4	IPR001757
ITPKA	IPR005522
DGKA	IPR002219
DGKA	IPR018247
DGKA	IPR017438
DGKA	IPR001206
DGKA	IPR011992
DGKA	IPR016064
DGKA	IPR000756
DGKA	IPR002048
DGKA	IPR029477
PAX7	IPR003654
PAX7	IPR009057
PAX7	IPR017970
PAX7	IPR001356
PAX7	IPR001523
PAX7	IPR022106
PAX7	IPR011991
PAX3	IPR009057
PAX3	IPR017970
PAX3	IPR001356
PAX3	IPR001523
PAX3	IPR033038
PAX3	IPR022106
PAX3	IPR011991
VAMP1	IPR001388
VAMP1	IPR016444
GATA2	IPR000679
GATA2	IPR029522
GATA2	IPR013088
GATA2	IPR016374
CPT2	IPR000542
DTYMK	IPR018094
DTYMK	IPR018095
DTYMK	IPR027417
RRM1	IPR013509
RRM1	IPR008926
RRM1	IPR005144
RRM1	IPR000788
RRM1	IPR013346
PRPH2	IPR018498
PRPH2	IPR018499
PRPH2	IPR008952
PRPH2	IPR000830
FSHR	IPR034298
FSHR	IPR026906
FSHR	IPR000276
FSHR	IPR032675
FSHR	IPR017452
FSHR	IPR002131
FSHR	IPR002272
FSHR	IPR024635
FSHR	IPR000372
CMA1	IPR033116
CMA1	IPR009003
CMA1	IPR001254
CMA1	IPR001314
CMA1	IPR018114
SLC6A2	IPR002435
SLC6A2	IPR000175
IL32	IPR028067
LAMA2	IPR000742
LAMA2	IPR008979
LAMA2	IPR009254
LAMA2	IPR010307
LAMA2	IPR000034
LAMA2	IPR013320
LAMA2	IPR008211
LAMA2	IPR001791
LAMA2	IPR002049
GABRR1	IPR006202
GABRR1	IPR006201
GABRR1	IPR008057
GABRR1	IPR006028
GABRR1	IPR006029
GABRR1	IPR018000
GABRR1	IPR008058
FCAR	IPR003599
FCAR	IPR007110
FCAR	IPR013783
PRTN3	IPR033116
PRTN3	IPR009003
PRTN3	IPR001254
PRTN3	IPR001314
PRTN3	IPR018114
ZBTB25	IPR011333
ZBTB25	IPR013083
ZBTB25	IPR013087
ZBTB25	IPR000210
GPT	IPR004839
GPT	IPR015422
GPT	IPR015424
GPT	IPR015421
COX7A1	IPR003177
COX7B	IPR008433
COX7B	IPR023272
MMP11	IPR018487
MMP11	IPR018486
MMP11	IPR000585
MMP11	IPR033739
MMP11	IPR021190
MMP11	IPR001818
MMP11	IPR028705
MMP11	IPR024079
MMP11	IPR006026
MMP11	IPR021158
CCND1	IPR013763
CCND1	IPR004367
CCND1	IPR006671
CCND1	IPR015451
CHM	IPR023753
CHM	IPR001738
CHM	IPR018203
CRHBP	IPR000859
CRHBP	IPR008435
KDELR1	IPR000133
IL4R	IPR003961
IL4R	IPR013783
IL4R	IPR015319
IL4R	IPR003531
CYP3A7	IPR017972
CYP3A7	IPR008072
CYP3A7	IPR001128
CYP3A7	IPR002402
NR2F2	IPR001628
NR2F2	IPR000536
NR2F2	IPR003068
NR2F2	IPR013088
NR2F2	IPR001723
GADD45A	IPR029064
GADD45A	IPR024824
GADD45A	IPR004038
EEF1B2	IPR014717
EEF1B2	IPR014038
EEF1B2	IPR001326
EEF1B2	IPR010987
EEF1B2	IPR018940
ATP5F1	IPR013837
ATP5F1	IPR008688
TBXAS1	IPR017972
TBXAS1	IPR001128
TBXAS1	IPR002401
IGFBP6	IPR022326
IGFBP6	IPR009168
IGFBP6	IPR022321
IGFBP6	IPR009030
IGFBP6	IPR000716
IGFBP6	IPR000867
IGFBP5	IPR012213
IGFBP5	IPR009168
IGFBP5	IPR022321
IGFBP5	IPR009030
IGFBP5	IPR017891
IGFBP5	IPR000716
IGFBP5	IPR000867
PRKCH	IPR000961
PRKCH	IPR002219
PRKCH	IPR020454
PRKCH	IPR011009
PRKCH	IPR000719
PRKCH	IPR017892
PRKCH	IPR008271
PRKCH	IPR014376
PRKCH	IPR027431
PRKCH	IPR017441
PRKCH	IPR000008
PRKCH	IPR034665
TNC	IPR014716
TNC	IPR014715
TNC	IPR013111
TNC	IPR003961
TNC	IPR013783
TNC	IPR000742
TNC	IPR002181
TNC	IPR013032
TNC	IPR033078
MYL9	IPR002048
MYL9	IPR018247
MYL9	IPR011992
DNASE1	IPR005135
DNASE1	IPR016202
DNASE1	IPR033125
DNASE1	IPR018057
CCNC	IPR013763
CCNC	IPR006671
CCNC	IPR028367
CCNC	IPR031658
CCNE1	IPR013763
CCNE1	IPR004367
CCNE1	IPR006671
CCNE1	IPR028858
CYP2F1	IPR017972
CYP2F1	IPR001128
CYP2F1	IPR020469
CYP2F1	IPR002401
POLR2A	IPR006592
POLR2A	IPR000722
POLR2A	IPR007083
POLR2A	IPR007081
POLR2A	IPR007080
POLR2A	IPR000684
POLR2A	IPR007073
POLR2A	IPR007075
POLR2A	IPR007066
CDK2	IPR017441
CDK2	IPR008271
CDK2	IPR011009
CDK2	IPR000719
HRH2	IPR017452
HRH2	IPR000276
HRH2	IPR000503
CXCR1	IPR001355
CXCR1	IPR017452
CXCR1	IPR000276
CXCR1	IPR000174
CXCR2	IPR017452
CXCR2	IPR000057
CXCR2	IPR000276
CXCR2	IPR000174
CD24	IPR028029
COL8A2	IPR008983
COL8A2	IPR008160
COL8A2	IPR001073
FPR3	IPR017452
FPR3	IPR000276
FPR3	IPR027347
FPR3	IPR000826
FPR2	IPR017452
FPR2	IPR000276
FPR2	IPR027347
FPR2	IPR000826
GUCY2C	IPR001054
GUCY2C	IPR011009
GUCY2C	IPR000719
GUCY2C	IPR001245
GUCY2C	IPR028082
GUCY2C	IPR018297
GUCY2C	IPR029787
GRK2	IPR000961
GRK2	IPR000239
GRK2	IPR011009
GRK2	IPR016137
GRK2	IPR000719
GRK2	IPR008271
GRK2	IPR017441
GRK2	IPR001849
GRK2	IPR011993
EDNRA	IPR002175
EDNRA	IPR000276
EDNRA	IPR000499
EDNRA	IPR017452
TACR1	IPR000046
TACR1	IPR017452
TACR1	IPR000276
TACR1	IPR001681
PTAFR	IPR002282
PTAFR	IPR017452
PTAFR	IPR000276
F2R	IPR000935
F2R	IPR017452
F2R	IPR000276
F2R	IPR003912
MPZ	IPR003599
MPZ	IPR007110
MPZ	IPR013783
MPZ	IPR013106
MPZ	IPR019738
MPZ	IPR019566
MPZ	IPR029869
MPZ	IPR000920
MCM3	IPR031327
MCM3	IPR033762
MCM3	IPR018525
MCM3	IPR003593
MCM3	IPR027925
MCM3	IPR027417
MCM3	IPR008046
MCM3	IPR001208
MCM3	IPR012340
NFYB	IPR003958
NFYB	IPR009072
NFYB	IPR003956
AZGP1	IPR007110
AZGP1	IPR013783
AZGP1	IPR001039
AZGP1	IPR003597
AZGP1	IPR003006
AZGP1	IPR011162
AZGP1	IPR011161
MPST	IPR001763
MPST	IPR001307
LAMA1	IPR000742
LAMA1	IPR008979
LAMA1	IPR009254
LAMA1	IPR010307
LAMA1	IPR000034
LAMA1	IPR013320
LAMA1	IPR008211
LAMA1	IPR001791
LAMA1	IPR002049
RPS12	IPR029064
RPS12	IPR000530
RPS12	IPR004038
BRD2	IPR001487
BRD2	IPR018359
BRD2	IPR027353
YY1	IPR013087
DNAJB1	IPR002939
DNAJB1	IPR001623
DNAJB1	IPR008971
DNAJB1	IPR018253
DNAJB2	IPR001623
DNAJB2	IPR018253
DNAJB2	IPR003903
MT3	IPR003019
MT3	IPR023587
MT3	IPR000006
MT3	IPR018064
MT3	IPR017854
CTSS	IPR000169
CTSS	IPR013128
CTSS	IPR013201
CTSS	IPR000668
CTSS	IPR025661
CTSS	IPR025660
PSMA1	IPR029055
PSMA1	IPR000426
PSMA1	IPR023332
PSMA1	IPR001353
PSMA2	IPR029055
PSMA2	IPR000426
PSMA2	IPR034644
PSMA2	IPR023332
PSMA2	IPR001353
PSMA3	IPR029055
PSMA3	IPR000426
PSMA3	IPR023332
PSMA3	IPR001353
PSMA4	IPR000426
PSMA4	IPR023332
PSMA4	IPR001353
PSMA4	IPR034647
PSMA4	IPR029055
PSMA4	IPR016050
LMO2	IPR001781
LMO1	IPR001781
S100P	IPR013787
S100P	IPR011992
S100P	IPR028494
S100P	IPR001751
S100P	IPR034325
S100P	IPR002048
UCP1	IPR002030
UCP1	IPR018108
UCP1	IPR023395
NPY1R	IPR017452
NPY1R	IPR000611
NPY1R	IPR000276
NPY1R	IPR000351
COL5A3	IPR008160
COL5A3	IPR013320
COL5A3	IPR001791
COL5A3	IPR000885
CD40	IPR020435
CD40	IPR034021
CD40	IPR001368
NFKBIA	IPR002110
NFKBIA	IPR020683
ITGA3	IPR013519
ITGA3	IPR013517
ITGA3	IPR013649
ITGA3	IPR018184
ITGA3	IPR000413
ITGA3	IPR032695
ITGB7	IPR013111
ITGB7	IPR002035
ITGB7	IPR033760
ITGB7	IPR002369
ITGB7	IPR016201
ITGB7	IPR015812
ITGB7	IPR012896
ITGB7	IPR015437
ITGB7	IPR014836
ITGB7	IPR032695
ITGB8	IPR013111
ITGB8	IPR002035
ITGB8	IPR033760
ITGB8	IPR002369
ITGB8	IPR016201
ITGB8	IPR015812
ITGB8	IPR013032
ITGB8	IPR015442
ITGB8	IPR032695
PTX3	IPR001759
PTX3	IPR013320
PTX3	IPR030476
PTX3	IPR006558
MSN	IPR019749
MSN	IPR019748
MSN	IPR011259
MSN	IPR029071
MSN	IPR014352
MSN	IPR000798
MSN	IPR019747
MSN	IPR018979
MSN	IPR011174
MSN	IPR011993
MSN	IPR008954
MSN	IPR018980
MSN	IPR000299
PTPN3	IPR001478
PTPN3	IPR016130
PTPN3	IPR012151
PTPN3	IPR019749
PTPN3	IPR019748
PTPN3	IPR019747
PTPN3	IPR029071
PTPN3	IPR003595
PTPN3	IPR014352
PTPN3	IPR029021
PTPN3	IPR018979
PTPN3	IPR011993
PTPN3	IPR000387
PTPN3	IPR000242
PTPN3	IPR018980
PTPN3	IPR000299
DDX6	IPR000629
DDX6	IPR011545
DDX6	IPR001650
DDX6	IPR014014
DDX6	IPR014001
DDX6	IPR027417
CTNNA2	IPR001033
CTNNA2	IPR000633
CTNNA2	IPR006077
CTNNA2	IPR030046
DNMT1	IPR031303
DNMT1	IPR029063
DNMT1	IPR022702
DNMT1	IPR001025
DNMT1	IPR001525
DNMT1	IPR018117
DNMT1	IPR010506
DNMT1	IPR002857
PAX6	IPR009057
PAX6	IPR017970
PAX6	IPR001356
PAX6	IPR001523
PAX6	IPR011991
U2AF2	IPR000504
U2AF2	IPR006529
KRTAP5-9	IPR002494
RPL13	IPR018256
RPL13	IPR001380
RPL13	IPR034295
CHML	IPR023753
CHML	IPR001738
CHML	IPR018203
ELAVL4	IPR000504
ELAVL4	IPR034918
ELAVL4	IPR002343
ELAVL4	IPR006548
ELAVL4	IPR034775
HSD3B2	IPR002225
HSD3B2	IPR016040
IVD	IPR009075
IVD	IPR006089
IVD	IPR013786
IVD	IPR009100
IVD	IPR006091
IVD	IPR034183
CNTF	IPR000151
CNTF	IPR009079
S100A4	IPR018247
S100A4	IPR013787
S100A4	IPR011992
S100A4	IPR001751
S100A4	IPR034325
S100A4	IPR002048
MGAT1	IPR004139
MGAT1	IPR029044
HMGB2	IPR009071
HMGB2	IPR017967
PTBP1	IPR034798
PTBP1	IPR000504
PTBP1	IPR035000
PTBP1	IPR006536
PTBP1	IPR035001
TARS	IPR004154
TARS	IPR004095
TARS	IPR018163
TARS	IPR002314
TARS	IPR033728
TARS	IPR006195
TARS	IPR012947
TARS	IPR012676
TARS	IPR002320
TARS	IPR012675
VARS	IPR009080
VARS	IPR033705
VARS	IPR014729
VARS	IPR001412
VARS	IPR002303
VARS	IPR002300
VARS	IPR004046
VARS	IPR009008
VARS	IPR013155
VARS	IPR010987
VARS	IPR019499
EEF1G	IPR012336
EEF1G	IPR001662
EEF1G	IPR004046
EEF1G	IPR010987
EEF1G	IPR004045
ZFP36	IPR000571
PLN	IPR005984
KLRC1	IPR033992
KLRC1	IPR016186
KLRC1	IPR001304
KLRC1	IPR016187
KLRC2	IPR033992
KLRC2	IPR016186
KLRC2	IPR001304
KLRC2	IPR016187
KLRK1	IPR033992
KLRK1	IPR016186
KLRK1	IPR001304
KLRK1	IPR016187
CD27	IPR001368
CD27	IPR034000
CD27	IPR022328
FKBP2	IPR001179
FKBP2	IPR023566
MST1	IPR003609
MST1	IPR001254
MST1	IPR018056
MST1	IPR009003
MST1	IPR000001
MST1	IPR024174
MST1	IPR001314
MST1	IPR013806
IL3RA	IPR003961
IL3RA	IPR013783
IL3RA	IPR015321
IL3RA	IPR003532
CNTFR	IPR003599
CNTFR	IPR007110
CNTFR	IPR013783
CNTFR	IPR003598
CNTFR	IPR003961
CNTFR	IPR003530
CRYBB3	IPR011024
CRYBB3	IPR033115
CRYBB3	IPR001064
STOM	IPR001972
STOM	IPR018080
STOM	IPR028515
STOM	IPR001107
AK4	IPR006259
AK4	IPR000850
AK4	IPR033690
AK4	IPR007862
AK4	IPR028585
AK4	IPR028586
AK4	IPR027417
PON1	IPR008363
PON1	IPR011042
PON1	IPR002640
MAOB	IPR023753
MAOB	IPR001613
MAOB	IPR002937
YWHAQ	IPR000308
YWHAQ	IPR023409
YWHAQ	IPR023410
GIF	IPR002157
GIF	IPR027954
MAPK3	IPR008349
MAPK3	IPR011009
MAPK3	IPR000719
MAPK3	IPR008271
MAPK3	IPR003527
MAPK3	IPR017441
MARK3	IPR011009
MARK3	IPR000719
MARK3	IPR008271
MARK3	IPR015940
MARK3	IPR017441
MARK3	IPR033628
MARK3	IPR028375
MARK3	IPR033624
MARK3	IPR001772
ATP6V0C	IPR000245
ATP6V0C	IPR011555
ATP6V0C	IPR002379
G0S2	IPR016821
DPP4	IPR002471
DPP4	IPR002469
DPP4	IPR029058
DPP4	IPR001375
GDF1	IPR015615
GDF1	IPR001839
GDF1	IPR029034
GDF1	IPR017948
ARNT	IPR001610
ARNT	IPR013767
ARNT	IPR011598
ARNT	IPR001067
ARNT	IPR000014
CERS1	IPR006634
CERS1	IPR016439
RPL10	IPR001197
RPL10	IPR016180
RPL10	IPR018255
COL8A1	IPR008983
COL8A1	IPR008160
COL8A1	IPR001073
RPA1	IPR031657
RPA1	IPR012340
RPA1	IPR004591
RPA1	IPR007199
RPA1	IPR013955
RPA1	IPR004365
CD82	IPR000301
CD82	IPR018499
CD82	IPR008952
CD82	IPR018503
DCK	IPR002624
DCK	IPR027417
DCK	IPR031314
CAD	IPR005483
CAD	IPR017926
CAD	IPR011059
CAD	IPR029062
CAD	IPR006275
CAD	IPR006274
CAD	IPR016185
CAD	IPR002474
CAD	IPR011607
CAD	IPR011761
CAD	IPR002082
CAD	IPR006130
CAD	IPR006131
CAD	IPR006132
CAD	IPR032466
CAD	IPR005480
CAD	IPR006680
CAD	IPR005479
CAD	IPR002195
CALR	IPR018124
CALR	IPR009033
CALR	IPR001580
CALR	IPR013320
CALR	IPR009169
PDE4A	IPR023088
PDE4A	IPR002073
PDE4A	IPR003607
PDE4A	IPR023174
MAP4	IPR001084
CANX	IPR018124
CANX	IPR009033
CANX	IPR001580
CANX	IPR013320
CFP	IPR000884
IL1R2	IPR003599
IL1R2	IPR007110
IL1R2	IPR013783
IL1R2	IPR003598
IL1R2	IPR013151
IL1R2	IPR004077
IL1R2	IPR004074
IL1R2	IPR015621
PIK3R1	IPR001452
PIK3R1	IPR032498
PIK3R1	IPR000198
PIK3R1	IPR000980
PIK3R1	IPR001720
PIK3R1	IPR008936
PIK3R1	IPR035020
PIK3R1	IPR035022
ITPKB	IPR005522
AOAH	IPR013830
AOAH	IPR008139
AOAH	IPR008138
AOAH	IPR001087
AOAH	IPR011001
PSMB8	IPR029055
PSMB8	IPR023333
PSMB8	IPR001353
PSMB8	IPR016050
PSMB8	IPR000243
PSMB9	IPR029055
PSMB9	IPR023333
PSMB9	IPR001353
PSMB9	IPR016050
PSMB9	IPR000243
PSMA5	IPR029055
PSMA5	IPR000426
PSMA5	IPR023332
PSMA5	IPR001353
PSMA5	IPR033812
HLA-DMA	IPR007110
HLA-DMA	IPR013783
HLA-DMA	IPR001003
HLA-DMA	IPR003597
HLA-DMA	IPR014745
HLA-DMA	IPR003006
HLA-DMA	IPR011162
HLA-DMB	IPR007110
HLA-DMB	IPR013783
HLA-DMB	IPR000353
HLA-DMB	IPR003597
HLA-DMB	IPR014745
HLA-DMB	IPR003006
HLA-DMB	IPR011162
POU1F1	IPR013847
POU1F1	IPR000327
POU1F1	IPR009057
POU1F1	IPR017970
POU1F1	IPR001356
POU1F1	IPR015586
POU1F1	IPR010982
PSMB4	IPR029055
PSMB4	IPR023333
PSMB4	IPR001353
PSMB4	IPR016050
PSMB4	IPR016295
PSMB6	IPR029055
PSMB6	IPR023333
PSMB6	IPR001353
PSMB6	IPR016050
PSMB6	IPR000243
PSMB5	IPR029055
PSMB5	IPR023333
PSMB5	IPR001353
PSMB5	IPR016050
PSMB5	IPR000243
GSTM2	IPR012336
GSTM2	IPR004046
GSTM2	IPR010987
GSTM2	IPR003081
GSTM2	IPR004045
HTR1D	IPR017452
HTR1D	IPR000505
HTR1D	IPR000276
HTR1D	IPR002231
HTR1B	IPR017452
HTR1B	IPR002147
HTR1B	IPR000276
HTR1B	IPR002231
ABCD3	IPR017871
ABCD3	IPR003593
ABCD3	IPR005283
ABCD3	IPR003439
ABCD3	IPR011527
ABCD3	IPR031241
ABCD3	IPR027417
TMOD1	IPR032675
TMOD1	IPR030135
TMOD1	IPR004934
SSFA2	IPR029326
SSFA2	IPR029325
SSFA2	IPR026648
LOX	IPR013783
LOX	IPR001695
LOX	IPR019828
ELK4	IPR000418
ELK4	IPR011991
CST5	IPR000010
CST5	IPR027214
CST5	IPR018073
PEX2	IPR017907
PEX2	IPR018957
PEX2	IPR001841
PEX2	IPR006845
PEX2	IPR013083
NDUFS1	IPR012675
NDUFS1	IPR001041
NDUFS1	IPR000283
NDUFS1	IPR015405
NDUFS1	IPR019574
NDUFS1	IPR006656
NDUFS1	IPR006963
NDUFS1	IPR010228
HTR2C	IPR000276
HTR2C	IPR017452
HTR2C	IPR000377
HTR2C	IPR002231
NMBR	IPR001556
NMBR	IPR000276
NMBR	IPR017452
NMBR	IPR001642
POLD1	IPR017964
POLD1	IPR006134
POLD1	IPR023211
POLD1	IPR006133
POLD1	IPR006172
POLD1	IPR012337
POLD1	IPR025687
TEAD1	IPR000818
TEAD1	IPR016361
HOXD9	IPR020479
HOXD9	IPR009057
HOXD9	IPR017970
HOXD9	IPR001356
HOXD9	IPR006711
HOXD10	IPR020479
HOXD10	IPR009057
HOXD10	IPR017970
HOXD10	IPR001356
MSX1	IPR020479
MSX1	IPR009057
MSX1	IPR017970
MSX1	IPR001356
SMARCA1	IPR000330
SMARCA1	IPR015194
SMARCA1	IPR015195
SMARCA1	IPR009057
SMARCA1	IPR001650
SMARCA1	IPR017884
SMARCA1	IPR001005
SMARCA1	IPR014001
SMARCA1	IPR029915
SMARCA1	IPR020838
SMARCA1	IPR027417
GABRB3	IPR002289
GABRB3	IPR006202
GABRB3	IPR006201
GABRB3	IPR006028
GABRB3	IPR006029
GABRB3	IPR018000
GABRR2	IPR006202
GABRR2	IPR006201
GABRR2	IPR008057
GABRR2	IPR006028
GABRR2	IPR006029
GABRR2	IPR018000
GABRR2	IPR008059
MAPK1	IPR008349
MAPK1	IPR011009
MAPK1	IPR000719
MAPK1	IPR008271
MAPK1	IPR003527
MAPK1	IPR017441
DUSP1	IPR016130
DUSP1	IPR024950
DUSP1	IPR000340
DUSP1	IPR029021
DUSP1	IPR003595
DUSP1	IPR008343
DUSP1	IPR001763
DUSP1	IPR020417
DUSP1	IPR000387
DUSP1	IPR020422
HTR1E	IPR017452
HTR1E	IPR027425
HTR1E	IPR000276
HTR1E	IPR002231
GCA	IPR002048
GCA	IPR018247
GCA	IPR011992
MZF1	IPR013087
MZF1	IPR008916
MZF1	IPR003309
MZF1	IPR013083
RXRB	IPR001628
RXRB	IPR000003
RXRB	IPR000536
RXRB	IPR013088
RXRB	IPR001723
RBL1	IPR002719
RBL1	IPR024599
